county,labor_force,employed,unemployed,unemployed_pct
"Miller County, GA",2772,2660,112,4.0     
"Mitchell County, GA",8289,7751,538,6.5     
"Monroe County, GA",12700,12050,650,5.1     
"Montgomery County, GA",3891,3681,210,5.4     
"Morgan County, GA",9142,8645,497,5.4     
"Murray County, GA",15350,14191,1159,7.6     
"Muscogee County, GA",77258,71209,6049,7.8     
"Newton County, GA",51901,48202,3699,7.1     
"Oconee County, GA",19208,18487,721,3.8     
"Oglethorpe County, GA",6791,6464,327,4.8     
"Paulding County, GA",85313,80718,4595,5.4     
"Peach County, GA",11814,11084,730,6.2     
"Pickens County, GA",14927,14210,717,4.8     
"Pierce County, GA",8500,8115,385,4.5     
"Pike County, GA",8705,8273,432,5.0     
"Polk County, GA",18292,17200,1092,6.0     
"Pulaski County, GA",3976,3797,179,4.5     
"Putnam County, GA",8210,7671,539,6.6     
"Quitman County, GA",800,748,52,6.5     
"Rabun County, GA",7215,6831,384,5.3     
"Randolph County, GA",2490,2343,147,5.9     
"Richmond County, GA",85112,78649,6463,7.6     
"Rockdale County, GA",43989,40657,3332,7.6     
"Schley County, GA",2145,2052,93,4.3     
"Screven County, GA",5047,4635,412,8.2     
"Seminole County, GA",3093,2938,155,5.0     
"Spalding County, GA",28305,26156,2149,7.6     
"Stephens County, GA",10414,9745,669,6.4     
"Stewart County, GA",2509,2367,142,5.7     
"Sumter County, GA",12525,11601,924,7.4     
"Talbot County, GA",2757,2568,189,6.9     
"Taliaferro County, GA",530,492,38,7.2     
"Tattnall County, GA",9651,9237,414,4.3     
"Taylor County, GA",2746,2563,183,6.7     
"Telfair County, GA",3782,3408,374,9.9     
"Terrell County, GA",3497,3235,262,7.5     
"Thomas County, GA",16930,15874,1056,6.2     
"Tift County, GA",20500,19463,1037,5.1     
"Toombs County, GA",12081,11287,794,6.6     
"Towns County, GA",3841,3585,256,6.7     
"Treutlen County, GA",2710,2547,163,6.0     
"Troup County, GA",37448,34727,2721,7.3     
"Turner County, GA",3264,3028,236,7.2     
"Twiggs County, GA",2790,2583,207,7.4     
"Union County, GA",10464,10006,458,4.4     
"Upson County, GA",11328,10578,750,6.6     
"Walker County, GA",30601,29106,1495,4.9     
"Walton County, GA",44917,42476,2441,5.4     
"Ware County, GA",15284,14432,852,5.6     
"Warren County, GA",2635,2456,179,6.8     
"Washington County, GA",6931,6486,445,6.4     
"Wayne County, GA",11540,10894,646,5.6     
"Webster County, GA",1008,951,57,5.7     
"Wheeler County, GA",1608,1492,116,7.2     
"White County, GA",16197,15491,706,4.4     
"Whitfield County, GA",43275,40137,3138,7.3     
"Wilcox County, GA",2737,2581,156,5.7     
"Wilkes County, GA",3712,3464,248,6.7     
"Wilkinson County, GA",3790,3587,203,5.4     
"Worth County, GA",8844,8369,475,5.4     
"Hawaii County, HI",89119,78986,10133,11.4     
"Honolulu County/city, HI",440915,396136,44779,10.2     
"Kauai County, HI",35337,29618,5719,16.2     
"Maui County, HI",82820,68056,14764,17.8     
"Ada County, ID",257677,243784,13893,5.4     
