,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
119,"Anchorage, AK",ANCHORAGE,99504,Alaska,Anchorage,42161,32,4251,21416,4340,2936,1792,23,3861,3542,92815,10037,5.7,8094,4511,10919,3204,15388,2403
120,"Anchorage, AK",ANCHORAGE,99505,Alaska,Anchorage,6477,21,188,3976,564,14,29,60,362,1284,78229,1069,4.1,1444,783,1418,142,2687,265
121,"Anchorage, AK",ANCHORAGE,99506,Alaska,Anchorage,7255,23,269,4058,1015,11,139,18,539,1206,63934,2045,4.8,1414,507,1269,0,4062,348
122,"Anchorage, AK",ANCHORAGE,99507,Alaska,Anchorage,38739,34,4965,22798,1758,2505,332,25,3030,3326,110807,9549,4.0,8755,4764,8406,3099,13713,1549
123,"Anchorage, AK",ANCHORAGE,99508,Alaska,Anchorage,35564,31,3636,15517,2347,4547,2473,128,3649,3267,82589,7797,10.2,6686,3627,9211,3485,12554,3627
125,"Anchorage, AK",ANCHORAGE,99515,Alaska,Anchorage,24207,34,3126,15107,439,1106,95,33,2102,2199,124511,6201,4.9,5010,2856,6221,1670,8448,1186
126,"Anchorage, AK",ANCHORAGE,99516,Alaska,Anchorage,21544,42,778,16901,412,830,25,9,1181,1408,182016,6037,2.0,6506,5256,3016,538,6247,430
127,"Anchorage, AK",ANCHORAGE,99517,Alaska,Anchorage,17014,37,2268,10017,531,1430,270,151,1283,1064,97247,3939,4.5,3623,2501,4406,1190,5274,765
128,"Anchorage, AK",ANCHORAGE,99518,Alaska,Anchorage,10077,35,1437,5435,220,635,209,4,887,1250,101569,2257,2.4,2116,836,2640,624,3869,241
129,"Anchorage, AK",ANCHORAGE,99540,Alaska,Anchorage,289,48,0,250,0,9,0,0,30,0,94218,82,0.0,62,42,47,20,116,0
130,"Anchorage, AK",ANCHORAGE,99567,Alaska,Anchorage; Knik River,9011,36,410,7259,4,321,0,0,597,420,118189,2415,4.2,1757,1000,2703,153,3388,378
131,"Anchorage, AK",ANCHORAGE,99577,Alaska,Anchorage,28210,32,915,21824,493,1005,154,43,1978,1798,117793,7192,1.3,7278,4316,5783,789,10014,366
132,"Anchorage, AK",ANCHORAGE,99587,Alaska,Anchorage,2233,32,11,1665,0,2,0,0,343,212,124111,469,0.0,1185,187,259,8,591,0
133,"Anchorage, AK",ANCHORAGE,99631,Alaska,Anchorage; Crown Point; Moose ,282,45,0,198,0,0,0,0,40,44,99778,87,29.9,28,0,164,0,89,84
134,"Anchorage, AK",ANCHORAGE,99686,Alaska,Anchorage; Whittier; Valdez,3925,37,89,3224,4,75,3,0,264,266,103941,728,8.0,934,404,1016,39,1530,314
135,"Ann Arbor, MI",ANN ARBOR,48103,Michigan,Ann Arbor,55270,38,5587,42120,3255,178,0,50,2236,1844,113358,13737,3.3,16028,24208,4587,1437,9009,1823
136,"Ann Arbor, MI",ANN ARBOR,48104,Michigan,Ann Arbor,42246,23,5250,31940,1903,39,24,103,1292,1695,93779,5478,5.5,13011,20869,2450,633,5280,2323
137,"Ann Arbor, MI",ANN ARBOR,48105,Michigan,Barton Hills; Ann Arbor,35456,31,9877,20682,1761,126,4,120,1226,1660,100792,7325,8.1,9821,17763,2162,1028,4644,2871
138,"Ann Arbor, MI",ANN ARBOR,48108,Michigan,Ann Arbor,26092,36,3717,16447,3316,14,29,40,1523,1006,91797,6407,5.6,7253,8218,3000,1382,6235,1461
139,"Ann Arbor, MI",ANN ARBOR,48109,Michigan,Ann Arbor,5562,19,1001,3654,386,0,0,0,214,307,-1,0,0.0,2630,489,328,350,1768,0
140,"Appleton, WI",APPLETON,54136,Wisconsin,Appleton; Kimberly,6323,37,37,5950,42,15,0,0,121,158,57603,1729,4.90,1169,316,2352,233,2238,309
141,"Appleton, WI",APPLETON,54911,Wisconsin,Little Chute; Appleton,26516,36,1845,21923,672,203,20,0,625,1228,63215,5797,12.30,5515,2412,8087,2227,8299,3261
142,"Appleton, WI",APPLETON,54913,Wisconsin,Little Chute; Appleton,19744,40,908,18223,64,45,0,42,191,271,108572,5502,1.90,5903,3336,4758,513,5232,375
143,"Appleton, WI",APPLETON,54914,Wisconsin,Fox Crossing; Appleton,31369,35,1890,25664,874,132,10,12,363,2424,66544,7550,5.90,6148,2258,9410,2540,11010,1850
144,"Appleton, WI",APPLETON,54915,Wisconsin,Kimberly; Harrison; Appleton; ,42788,37,2343,36332,757,119,0,149,698,2390,78449,11673,6.50,10525,3979,11980,2995,13349,2781
145,"Appleton, WI",APPLETON,54952,Wisconsin,Harrison; Sherwood; Appleton; ,26209,38,516,22310,495,266,15,0,704,1903,69776,6912,5.80,4141,1677,9487,2332,8570,1520
146,"Asheville, NC",ASHEVILLE,28704,North Carolina,Asheville; Fletcher; Mills Riv,19630,44,692,16511,943,55,0,0,434,995,87243,5138,4.2,5300,3749,3435,883,6242,824
147,"Asheville, NC",ASHEVILLE,28715,North Carolina,Asheville,26317,41,55,23625,194,49,49,0,332,2013,68503,6764,10.1,5000,2605,7974,2789,8000,2658
148,"Asheville, NC",ASHEVILLE,28732,North Carolina,Asheville; Fletcher; Mills Riv,17533,42,424,15201,735,140,0,0,167,866,72532,4622,4.3,4400,1735,4383,1174,5838,753
149,"Asheville, NC",ASHEVILLE,28801,North Carolina,Asheville; Woodfin,14211,37,233,9592,3650,33,0,47,269,387,58776,2273,19.7,3808,2629,2671,937,4135,2799
150,"Asheville, NC",ASHEVILLE,28803,North Carolina,Biltmore Forest; Asheville; Ro,32613,42,921,24737,3915,212,6,17,722,2083,76608,7637,6.5,9849,6457,6131,1891,8316,2119
151,"Asheville, NC",ASHEVILLE,28804,North Carolina,Weaverville; Asheville; Woodfi,21569,42,147,19221,476,148,0,30,289,1258,88499,5131,8.1,6211,4982,3170,1488,5715,1747
